survey_id,cache_id,wb_region_code,pcn_region_code,country_code,reporting_year,surveyid_year,survey_year,survey_time,survey_acronym,survey_coverage,survey_comparability,comparable_spell,welfare_type,survey_mean_lcu,survey_mean_ppp,predicted_mean_ppp,ppp,cpi,reporting_pop,reporting_gdp,reporting_pce,pop_data_level,gdp_data_level,pce_data_level,cpi_data_level,ppp_data_level,reporting_level,distribution_type,gd_type,is_interpolated,is_used_for_line_up,is_used_for_aggregation,estimation_type,display_cp,interpolation_id
AGO_2000_HBS_V01_M_V01_A_PIP_PC-GPWG,AGO_2000_HBS_D1_CON_GPWG,SSA,SSA,AGO,1981,2000,2000.21,2000-2001,HBS,national,0,2000,consumption,11.232638,4.1004243,5.4706359,80.931801,.033848062,8640478,3276.3618,,national,national,national,national,national,national,micro,,TRUE,TRUE,FALSE,extrapolation,1,AGO_1981_national
AGO_2000_HBS_V01_M_V01_A_PIP_PC-GPWG,AGO_2000_HBS_D1_CON_GPWG,SSA,SSA,AGO,1982,2000,2000.21,2000-2001,HBS,national,0,2000,consumption,11.232638,4.1004243,5.2796898,80.931801,.033848062,8952971,3162.0042,,national,national,national,national,national,national,micro,,TRUE,TRUE,FALSE,extrapolation,1,AGO_1982_national
AGO_2000_HBS_V01_M_V01_A_PIP_PC-GPWG,AGO_2000_HBS_D1_CON_GPWG,SSA,SSA,AGO,1983,2000,2000.21,2000-2001,HBS,national,0,2000,consumption,11.232638,4.1004243,5.30865,80.931801,.033848062,9278104,3179.3481,,national,national,national,national,national,national,micro,,TRUE,TRUE,FALSE,extrapolation,1,AGO_1983_national
AGO_2000_HBS_V01_M_V01_A_PIP_PC-GPWG,AGO_2000_HBS_D1_CON_GPWG,SSA,SSA,AGO,1984,2000,2000.21,2000-2001,HBS,national,0,2000,consumption,11.232638,4.1004243,5.4301386,80.931801,.033848062,9614756,3252.1079,,national,national,national,national,national,national,micro,,TRUE,TRUE,FALSE,extrapolation,1,AGO_1984_national
AGO_2000_HBS_V01_M_V01_A_PIP_PC-GPWG,AGO_2000_HBS_D1_CON_GPWG,SSA,SSA,AGO,1985,2000,2000.21,2000-2001,HBS,national,0,2000,consumption,11.232638,4.1004243,5.4242949,80.931801,.033848062,9961993,3248.6082,,national,national,national,national,national,national,micro,,TRUE,TRUE,FALSE,extrapolation,1,AGO_1985_national
AGO_2000_HBS_V01_M_V01_A_PIP_PC-GPWG,AGO_2000_HBS_D1_CON_GPWG,SSA,SSA,AGO,1986,2000,2000.21,2000-2001,HBS,national,0,2000,consumption,11.232638,4.1004243,5.3879099,80.931801,.033848062,10320116,3226.8171,,national,national,national,national,national,national,micro,,TRUE,TRUE,FALSE,extrapolation,1,AGO_1986_national
AGO_2000_HBS_V01_M_V01_A_PIP_PC-GPWG,AGO_2000_HBS_D1_CON_GPWG,SSA,SSA,AGO,1987,2000,2000.21,2000-2001,HBS,national,0,2000,consumption,11.232638,4.1004243,5.4142284,80.931801,.033848062,10689247,3242.5791,,national,national,national,national,national,national,micro,,TRUE,TRUE,FALSE,extrapolation,1,AGO_1987_national
AGO_2000_HBS_V01_M_V01_A_PIP_PC-GPWG,AGO_2000_HBS_D1_CON_GPWG,SSA,SSA,AGO,1988,2000,2000.21,2000-2001,HBS,national,0,2000,consumption,11.232638,4.1004243,5.5494013,80.931801,.033848062,11068051,3323.5342,,national,national,national,national,national,national,micro,,TRUE,TRUE,FALSE,extrapolation,1,AGO_1988_national
AGO_2000_HBS_V01_M_V01_A_PIP_PC-GPWG,AGO_2000_HBS_D1_CON_GPWG,SSA,SSA,AGO,1989,2000,2000.21,2000-2001,HBS,national,0,2000,consumption,11.232638,4.1004243,5.3642759,80.931801,.033848062,11454784,3212.6628,,national,national,national,national,national,national,micro,,TRUE,TRUE,FALSE,extrapolation,1,AGO_1989_national
AGO_2000_HBS_V01_M_V01_A_PIP_PC-GPWG,AGO_2000_HBS_D1_CON_GPWG,SSA,SSA,AGO,1990,2000,2000.21,2000-2001,HBS,national,0,2000,consumption,11.232638,4.1004243,5.0071511,80.931801,.033848062,11848385,2998.7808,,national,national,national,national,national,national,micro,,TRUE,TRUE,FALSE,extrapolation,1,AGO_1990_national
