country_code,data_level,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46
ABW,national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15712.935,,,,,
AGO,national,,,,,,,,,,,,,,,,,,,,,,,,,,1391.826,1456.1918,1462.4758,1482.6493,1521.6025,1554.3203,1620.0656,1722.2382,1725.1387,1834.0598,1943.407,2030.637,2209.3567,2197.8318,2250.0603,2239.6575,2093.4958,1994.2791,1854.6417
ALB,national,,,,,,,,,,,,,,,,,,,,1714.8135,1415.4797,1348.1796,1397.472,1493.5566,1567.9246,1685.3682,1867.2853,1944.3365,2079.2434,2236.9468,2540.8784,2819.7361,2859.1023,2921.3333,2981.0872,2989.866,3050.3682,3142.7734,3189.7056,3263.0234,3345.3716,3465.6172,,
ARE,national,,,,,,,,,,,,,,,,,,,,,,,,,43190.453,43548.871,41627.863,42316.719,38525.32,38434.816,37084.73,36112.699,23278.303,15682.173,16620.668,14507.905,15170.147,17009.045,13691.699,13769.486,14860.386,15531.339,17358.791,
ARG,national,,,,,,,,,,,,,,,,,6149.7617,6440.9375,6083.729,6344.2563,6834.0503,6991.9253,6776.3472,6657.9639,6207.5469,5259.207,5628.1714,6098.1265,6481.4209,7118.8833,7706.3418,8183.0122,7664.3296,8457.9668,9144.3203,9141.3271,9368.5479,8862.2705,9087.7959,8922.0635,9197.1992,8901.5469,8232.9111,7087.1318
ARM,national,,,,,,,,,,,,,,,,,,879.48657,984.25067,1040.4122,1136.3625,1200.231,1216.8901,1325.09,1429.2727,1556.1362,1677.9939,1837.8304,2017.9597,2202.2488,2515.3,2672.9734,2570.842,2678.5325,2743.5583,2984.7207,3020.3745,3052.4216,2810.6499,2742.843,3117.5203,3259.2952,3632.2346,3114.7607
ASM,national,,,,,,,,,,,,,,,,,,,,,,,,,,8398.4834,8542.0557,8885.2236,8786.123,8699.7891,8655.5156,8542.9707,8399.998,8130.3496,7764.0049,7577.5396,7931.5361,8119.0415,8242.8408,8342.8447,8306.9697,8420.8828,8679.623,
ATG,national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9513.7061,,,,,
AUS,national,16579.957,16678.682,16757.541,16939.303,17402.305,17830.553,17923.395,17872.383,18137.744,18490.469,18674.004,19083.898,19623.188,19860.779,19938.828,20135.783,20332.197,20764.789,21305.523,21718.697,22338.293,23276.953,24152.063,24732.008,25182.859,25763.453,26613.469,27543.637,28216.557,29140.008,30243.494,30438.992,30462.547,31104.893,31684.09,31876.826,32028.99,32318.201,32646.502,32923.813,33224.629,33471.645,32808.32,
AUT,national,13761.146,13537.4,14204.178,14562.096,14710.258,14982.401,15822.131,15486.474,15759.514,16094.883,16473.598,16846.396,17372.432,17970.666,18325.008,18755.039,18620.719,18928.154,19060.299,19593.996,19654.021,20202.846,20651.039,21243.469,21433.379,21473.643,21741.727,22108.736,22452.352,22809.004,22986.123,23131.121,23266.859,23441.803,23677.168,23692.475,23534.633,23422.33,23274.246,23379.717,23663.297,23804.633,23900.154,21601.203
