survey_id,cache_id,wb_region_code,pcn_region_code,country_code,survey_acronym,survey_coverage,survey_comparability,comparable_spell,surveyid_year,reporting_year,survey_year,survey_time,welfare_type,survey_mean_lcu,survey_mean_ppp,reporting_pop,ppp,cpi,pop_data_level,gdp_data_level,pce_data_level,cpi_data_level,ppp_data_level,reporting_level,distribution_type,gd_type,is_interpolated,is_used_for_line_up,is_used_for_aggregation,display_cp
AGO_2000_HBS_V01_M_V01_A_PIP_PC-GPWG,AGO_2000_HBS_D1_CON_GPWG,SSA,SSA,AGO,HBS,national,0,2000,2000,2000,2000.21,2000-2001,consumption,11.232638,4.1004243,16395477,80.931801,.033848062,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
AGO_2008_IBEP-MICS_V02_M_V02_A_PIP_PC-GPWG,AGO_2008_IBEP-MICS_D1_CON_GPWG,SSA,SSA,AGO,IBEP-MICS,national,1,2008,2008,2008,2008.5,2008-2009,consumption,212.02904,3.6218905,21695636,80.931801,.72333717,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
AGO_2018_IDREA_V01_M_V01_A_PIP_PC-GPWG,AGO_2018_IDREA_D1_CON_GPWG,SSA,SSA,AGO,IDREA,national,2,2018,2018,2018,2018.17,2018-2019,consumption,723.92853,3.0482817,30809787,80.931801,2.9344141,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_1996_EWS_V01_M_V01_A_PIP_PC-HIST,ALB_1996_EWS_D1_CON_HIST,ECA,ECA,ALB,EWS,national,0,1996,1996,1996,1996,1996,consumption,159.65146,6.5708208,3168033,54.652584,.44457248,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_2002_LSMS_V01_M_V01_A_PIP_PC-GPWG,ALB_2002_LSMS_D1_CON_GPWG,ECA,ECA,ALB,LSMS,national,1,2002 - 2012,2002,2002,2002,2002,consumption,286.48477,6.7158275,3051010,54.652584,.78053308,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_2005_LSMS_V01_M_V03_A_PIP_PC-GPWG,ALB_2005_LSMS_D1_CON_GPWG,ECA,ECA,ALB,LSMS,national,1,2002 - 2012,2005,2005,2005,2005,consumption,348.00763,7.5919299,3011487,54.652584,.83873713,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_2008_LSMS_V01_M_V05_A_PIP_PC-GPWG,ALB_2008_LSMS_D1_CON_GPWG,ECA,ECA,ALB,LSMS,national,1,2002 - 2012,2008,2008,2008,2008,consumption,414.56424,8.3143454,2947314,54.652584,.9123323,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_2012_LSMS_V01_M_V04_A_PIP_PC-GPWG,ALB_2012_LSMS_D1_CON_GPWG,ECA,ECA,ALB,LSMS,national,1,2002 - 2012,2012,2012,2012,2012,consumption,439.57153,7.8828669,2900401,54.652584,1.020316,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_2014_HBS_V01_M_V01_A_PIP_PC-GPWG,ALB_2014_HBS_D1_CON_GPWG,ECA,ECA,ALB,HBS,national,2,2014 - 2017,2014,2014,2014,2014,consumption,485.23459,8.3997746,2889104,54.652584,1.0569962,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_2015_HBS_V01_M_V03_A_PIP_PC-GPWG,ALB_2015_HBS_D1_CON_GPWG,ECA,ECA,ALB,HBS,national,2,2014 - 2017,2015,2015,2015,2015,consumption,597.01294,9.9851418,2880703,54.652584,1.0940038,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_2016_HBS_V01_M_V03_A_PIP_PC-GPWG,ALB_2016_HBS_D1_CON_GPWG,ECA,ECA,ALB,HBS,national,2,2014 - 2017,2016,2016,2016,2016,consumption,618.78577,10.38745,2876101,54.652584,1.0899854,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_2017_HBS_V01_M_V03_A_PIP_PC-GPWG,ALB_2017_HBS_D1_CON_GPWG,ECA,ECA,ALB,HBS,national,2,2014 - 2017,2017,2017,2017,2017,consumption,624.9964,10.27988,2873457,54.652584,1.1124456,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_2017_SILC-C_V01_M_V01_A_PIP_PC-GPWG,ALB_2017_SILC-C_D1_INC_GPWG,ECA,ECA,ALB,SILC-C,national,4,2016 - 2018,2017,2016,2016,2017,income,491.0368,8.2429504,2876101,54.652584,1.0899854,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,0
ALB_2018_HBS_V01_M_V01_A_PIP_PC-GPWG,ALB_2018_HBS_D1_CON_GPWG,ECA,ECA,ALB,HBS,national,3,2018 - 2019,2018,2018,2018,2018,consumption,684.18414,11.029705,2866376,54.652584,1.1350067,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_2018_SILC-C_V01_M_V01_A_PIP_PC-GPWG,ALB_2018_SILC-C_D1_INC_GPWG,ECA,ECA,ALB,SILC-C,national,4,2016 - 2018,2018,2017,2017,2018,income,524.2713,8.6231642,2873457,54.652584,1.1124456,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,0
ALB_2019_HBS_V01_M_V01_A_PIP_PC-GPWG,ALB_2019_HBS_D1_CON_GPWG,ECA,ECA,ALB,HBS,national,3,2018 - 2019,2019,2019,2019,2019,consumption,811.84692,12.905642,2854191,54.652584,1.1510227,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,1
ALB_2019_SILC-C_V01_M_V01_A_PIP_PC-GPWG,ALB_2019_SILC-C_D1_INC_GPWG,ECA,ECA,ALB,SILC-C,national,4,2016 - 2018,2019,2018,2018,2019,income,559.88556,9.0258923,2866376,54.652584,1.1350067,national,national,national,national,national,national,micro,,FALSE,TRUE,FALSE,0
ARE_2014_HIES_V01_M_V01_A_PIP_PC-GROUP,ARE_2014_HIES_D1_INC_GROUP,MNA,OHI,ARE,HIES,national,0,2013 - 2018,2014,2013,2013.42,2014-2015,income,187.9348,76.299309,9197908,2.3966532,1.0277356,national,national,national,national,national,national,group,T05,FALSE,TRUE,FALSE,1
ARE_2019_HIES_V01_M_V02_A_PIP_PC-GROUP,ARE_2019_HIES_D1_INC_GROUP,MNA,OHI,ARE,HIES,national,0,2013 - 2018,2019,2018,2018,2019,income,230.17018,82.96022,9630966,2.3966532,1.1576412,national,national,national,national,national,national,group,T05,FALSE,TRUE,FALSE,1
ARG_1980_EPH_V01_M_V01_A_PIP_PC-GROUP,ARG_1980_EPH_D2_INC_GROUP,LAC,LAC,ARG,EPH,urban,0,1980 - 1987,1980,1980,1980,1980,income,19.265753,22.943247,23122598,3.1611636,.2656343,urban,national,national,national,national,urban,group,T05,FALSE,TRUE,FALSE,1
ARG_1986_EPH_v01_M_v01_A_PIP_PC-HIST,ARG_1986_EPH_D2_INC_HIST,LAC,LAC,ARG,EPH,urban,0,1980 - 1987,1986,1986,1986,1986,income,5.3478274,24.847164,26230730,3.1611636,.068085335,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_1987_EPH_v01_M_v01_A_PIP_PC-HIST,ARG_1987_EPH_D2_INC_HIST,LAC,LAC,ARG,EPH,urban,0,1980 - 1987,1987,1987,1987,1987,income,11.308295,22.712023,26769634,3.1611636,.15750501,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_1991_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_1991_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,1991,1991,1991,1991,income,81089.383,16.116835,28887231,3.1611636,1591.6122,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_1992_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_1992_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,1992,1992,1992,1992,income,9.6487465,16.253492,29352237,3.1611636,.18779205,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_1993_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_1993_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,1993,1993,1993,1993,income,10.526826,16.287676,29809445,3.1611636,.20445201,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_1994_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_1994_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,1994,1994,1994,1994,income,10.783765,16.090946,30260588,3.1611636,.21200292,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_1995_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_1995_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,1995,1995,1995,1995,income,10.465929,15.285133,30705906,3.1611636,.21660157,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_1996_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_1996_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,1996,1996,1996,1996,income,10.273603,14.9736,31145813,3.1611636,.2170449,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_1997_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_1997_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,1997,1997,1997,1997,income,10.826509,15.689877,31579653,3.1611636,.21828403,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_1998_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_1998_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,1998,1998,1998,1998,income,10.629342,15.23561,32009558,3.1611636,.22069858,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_1999_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_1999_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,1999,1999,1999,1999,income,9.9262972,14.522638,32438320,3.1611636,.21621946,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2000_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_2000_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,2000,2000,2000,2000,income,9.6412725,14.204879,32867365,3.1611636,.21470881,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2001_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_2001_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,2001,2001,2001,2001,income,8.7777319,13.08054,33297960,3.1611636,.2122803,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2002_EPH_v01_M_v02_A_PIP_PC-GPWG,ARG_2002_EPH_D2_INC_GPWG,LAC,LAC,ARG,EPH,urban,1,1991 - 2002,2002,2002,2002,2002,income,8.5390596,9.1884527,33728928,3.1611636,.29398197,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2003_EPHC-S2_v01_M_v06_A_PIP_PC-GPWG,ARG_2003_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2003,2003,2003,2003,income,12.559687,13.003404,34159484,3.1611636,.30554473,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2004_EPHC-S2_v01_M_v06_A_PIP_PC-GPWG,ARG_2004_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2004,2004,2004,2004,income,14.291083,14.016382,34588884,3.1611636,.322539,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2005_EPHC-S2_v01_M_v06_A_PIP_PC-GPWG,ARG_2005_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2005,2005,2005,2005,income,17.411947,15.417123,35015688,3.1611636,.35727042,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2006_EPHC-S2_v01_M_v06_A_PIP_PC-GPWG,ARG_2006_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2006,2006,2006,2006,income,21.279865,17.074812,35439468,3.1611636,.39424482,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2007_EPHC-S2_v01_M_v06_A_PIP_PC-GPWG,ARG_2007_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2007,2007,2007,2007,income,26.870232,17.610273,35861117,3.1611636,.48267892,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2008_EPHC-S2_v01_M_v06_A_PIP_PC-GPWG,ARG_2008_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2008,2008,2008,2008,income,34.518551,18.026081,36284568,3.1611636,.6057651,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2009_EPHC-S2_v01_M_v06_A_PIP_PC-GPWG,ARG_2009_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2009,2009,2009,2009,income,40.708023,18.652777,36714243,3.1611636,.69038212,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2010_EPHC-S2_v01_M_v06_A_PIP_PC-GPWG,ARG_2010_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2010,2010,2010,2010,income,52.261848,19.222139,37055902,3.1611636,.86007452,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2011_EPHC-S2_v01_M_v06_A_PIP_PC-GPWG,ARG_2011_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2011,2011,2011,2011,income,67.640366,20.446692,37543830,3.1611636,1.0464921,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2012_EPHC-S2_v01_M_v04_A_PIP_PC-GPWG,ARG_2012_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2012,2012,2012,2012,income,84.005547,20.259638,38027774,3.1611636,1.3116843,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2013_EPHC-S2_v01_M_v04_A_PIP_PC-GPWG,ARG_2013_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2013,2013,2013,2013,income,106.86056,20.341747,38509756,3.1611636,1.6618131,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2014_EPHC-S2_v01_M_v04_A_PIP_PC-GPWG,ARG_2014_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2014,2014,2014,2014,income,140.37823,19.039709,38990109,3.1611636,2.3323436,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2016_EPHC-S2_v01_M_v03_A_PIP_PC-GPWG,ARG_2016_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2016,2016,2016,2016,income,259.89938,19.885086,39940546,3.1611636,4.1345744,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2017_EPHC-S2_V01_M_V04_A_PIP_PC-GPWG,ARG_2017_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2017,2017,2017,2017,income,335.75946,20.883728,40410674,3.1611636,5.0859642,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2018_EPHC-S2_V01_M_V05_A_PIP_PC-GPWG,ARG_2018_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2018,2018,2018,2018,income,430.86703,18.93251,40877099,3.1611636,7.199264,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2019_EPHC-S2_V01_M_V03_A_PIP_PC-GPWG,ARG_2019_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2019,2019,2019,2019,income,642.32715,18.437744,41339571,3.1611636,11.020505,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARG_2020_EPHC-S2_V01_M_V01_A_PIP_PC-GPWG,ARG_2020_EPHC-S2_D2_INC_GPWG,LAC,LAC,ARG,EPHC-S2,urban,2,2003 - 2020,2020,2020,2020,2020,income,775.84235,16.139803,41796990,3.1611636,15.206466,urban,national,national,national,national,urban,micro,,FALSE,TRUE,FALSE,1
ARM_1996_ILCS_V01_M_V01_A_PIP_PC-GROUP,ARM_1996_ILCS_D1_INC_GROUP,ECA,ECA,ARM,ILCS,national,0,1996,1996,1996,1996,1996,income,479.2287,5.925693,3168213,165.62904,.48827803,national,national,national,national,national,national,group,T05,FALSE,TRUE,FALSE,0
